,,,,,,,,,,,,,,
数据模块,二级分类名称及排序,"数据模块（新）
二级页面分类，名称取-后面值",数据内容（一级）,数据内容（二级）,数据内容（三级）,数据内容（四级）,"数据来源：
①系统对接
②Excel导入/手动录入","数据更新频率
（年/季度/月/周）","实现优先级
（高、中、低）",首页指标标识（经营指标占2/3）,建议实现图形,对比结果,备注,第二轮修改情况
行政管理,行政8,非经营数据-行政,领导行程,/,/,,Excel导入/手动录入,周,高,,,,,
,行政8,非经营数据-行政,督办事项完成率,/,/,,Excel导入/手动录入,周,高,首页-核心指标7,,,,
,行政8,非经营数据-行政,三会议召开次数,/,/,,Excel导入/手动录入,月,高,,,,,
经营数据,财务1,经营数据-财务,集团营收数据,总营业收入,/,,系统对接,月,高,首页-核心指标1,营收+利润总额+负债总额趋势复合图形,,,
,财务1,经营数据-财务,,境外营收,/,,系统对接,月,高,首页-核心指标1,,,,再商榷统计口径
,财务1,经营数据-财务,,利润总额,/,,系统对接,月,高,首页-核心指标1,,,,
,财务1,经营数据-财务,,净利润,/,,系统对接,月,高,首页-核心指标1,,,,
,财务1,经营数据-财务,,负债总额,/,,系统对接,月,高,首页-核心指标1,,,,
,财务1,经营数据-财务,,资产负债率,/,,系统对接,月,高,首页-核心指标1,,,,
,财务1,经营数据-财务,,经营性现金流净额,/,,系统对接,月,高,首页-核心指标1,,,,
,财务1,经营数据-财务,,人效比,/,,Excel导入/手动录入,月,高,,,,,再商榷统计口径
,财务1,经营数据-财务,,珠琴澳三地特色产业集群总产值,/,,Excel导入/手动录入,月,高,,,,,再商榷统计口径
,财务1,经营数据-财务,,新兴产业规模,/,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,累计GDP贡献值（分板块）,/,,系统对接,月,高,,,,,
,财务1,经营数据-财务,,税收贡献（分板块）,/,,系统对接,月,高,,,,,
,财务1,经营数据-财务,,带动社会消费品零售额,/,,Excel导入/手动录入,月,高,,,,,再商榷统计口径
,财务1,经营数据-财务,,生产性服务占比,/,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,费用压降情况（人力成本）,/,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,费用压降情况（期间费用）,/,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,费用压降情况（预结算审核压降金额）,/,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,经营目标达成率,/,,Excel导入/手动录入,月,高,,,,经营目标达成率(不含重点工作，只计算经济指标),
业务数据,资金3,经营数据-资金,资金情况,资金整体情况,/,,系统对接,月,高,,,,,
,资金3,经营数据-资金,,融资情况,/,,Excel导入/手动录入,月,高,,,,,
,资金3,经营数据-资金,,集团资金池实施余额,/,,系统对接,月,中,,,,,
,资金3,经营数据-资金,,货币余额,/,,系统对接,月,中,,,,,
,资金3,经营数据-资金,,有息负债余额,/,,系统对接,月,高,,,,,
,资金3,经营数据-资金,,费用化支出总额,/,,系统对接,月,中,,,,,
,资金3,经营数据-资金,,年度融资计划总额,/,,系统对接,月,中,,,,,
,资金3,经营数据-资金,,已完成额,/,,系统对接,月,中,,,,,
,资金3,经营数据-资金,,剩余额度,/,,系统对接,月,中,,,,,
,资金3,经营数据-资金,,集团综合融资成本率,/,,系统对接,月,高,,,没看到此数据指标,,
,投资2,经营数据-投资,投资情况,股权投资总额,/,,Excel导入/手动录入,月,中,,,,,
,投资2,经营数据-投资,,年度固定资产投资计划完成率,/,,Excel导入/手动录入,月,高,,,,,
,投资2,经营数据-投资,,投资回报率（ROI）,/,,Excel导入/手动录入,月,中,,,,,
,投资2,经营数据-投资,,投资项目退出率,/,,Excel导入/手动录入,月,中,,,,,再商榷统计口径
,投资2,经营数据-投资,,投资项目退出收益总额,/,,Excel导入/手动录入,月,中,,,,,
,投资2,经营数据-投资,,固定资产投资完成情况,/,,Excel导入/手动录入,月,高,,,,,
,投资2,经营数据-投资,,合作区重点项目完成情况,/,,Excel导入/手动录入,月,低,,,,,
,投资2,经营数据-投资,,珠海市重点项目完成情况,/,,Excel导入/手动录入,月,低,,,,,
,资产4,经营数据-资产,资产运营情况,可售房产面积总量,/,,Excel导入/手动录入,周,高,,,,,再商榷统计口径
,资产4,经营数据-资产,,总货值,/,,Excel导入/手动录入,周,中,,,,,
,资产4,经营数据-资产,,办公物业出租率,/,,Excel导入/手动录入,周,高,,,,,
,资产4,经营数据-资产,,厂房物业出租率,/,,Excel导入/手动录入,周,高,,,,,
,资产4,经营数据-资产,,公寓物业出租率,/,,Excel导入/手动录入,周,高,,,,,
,资产4,经营数据-资产,,商业物业出租率,/,,Excel导入/手动录入,周,高,,,,,
,资产4,经营数据-资产,,房产销售去化情况（按项目）,/,,Excel导入/手动录入,周,高,,,,,
,资产4,经营数据-资产,,本年新增项目签约数量,/,,Excel导入/手动录入,周,中,,,,,再商榷统计口径
,资产4,经营数据-资产,,总体续约率,/,,Excel导入/手动录入,周,中,,,,,再商榷统计口径
,资产4,经营数据-资产,,本年度已盘活资产规模,/,,Excel导入/手动录入,周,高,,,,,
,业务5,经营数据-业务,风险应对,诉讼项目数量,/,,Excel导入/手动录入,月,高,首页-核心指标5,,,,
,业务5,经营数据-业务,,投资亏损金额,/,,Excel导入/手动录入,月,高,,,,,
