,,珠光经营调度驾驶舱（暂定名）- 数据清单,,,,,,,,,,,,,
指标项,,序号,分工,建议对接部门（中心）,数据模块,数据内容（一级）,数据内容（二级）,数据内容（三级）,"数据来源：
①系统对接
②Excel导入/手动录入","数据更新频率
（年/季度/月/周）",数据提供部门,"实现优先级
（高、中、低）","是否涉及报送
（财局、国资委等）",综合看板标识,备注
领导行程,1,1,办公室,办公室,行政管理,领导行程,/,/,Excel导入/手动录入,周,办公室,高,否,,
督办事项完成率,1,2,,,,督办事项完成率,/,/,Excel导入/手动录入,周,办公室,高,否,综合看板-板块指标,
三会议召开次数,1,3,,,,三会议召开次数,/,/,Excel导入/手动录入,月,办公室,高,否,综合看板-板块指标,
总营收,1,4,战略规划部/经营发展部,战略规划部/经营发展部,经营数据,集团营收数据,总营收,/,系统对接,月,财务管理部,高,是,综合看板-核心指标,1.营业总收入
境外营收,1,5,,,,,境外营收,/,系统对接,月,财务管理部,高,是,综合看板-核心指标,无专项统计，建议按境外企业汇总
利润总额,2,6,,,,,利润总额,/,系统对接,月,财务管理部,高,是,综合看板-核心指标,16.利润总额（亏损以“-”号填列）
净利润,2,7,,,,,净利润,/,系统对接,月,财务管理部,高,是,综合看板-核心指标,17.净利润（亏损以“-”号填列）
负债总额,2,8,,,,,负债总额,/,系统对接,月,财务管理部,高,是,综合看板-核心指标,20.负债总额
资产负债率,2,9,,,,,资产负债率,/,系统对接,月,财务管理部,高,是,综合看板-核心指标,1.资产负债率（%）
经营性现金流净额,1,10,,,,,经营性现金流净额,/,系统对接,月,财务管理部,高,是,综合看板-核心指标,24.经营活动产生的现金流量净额
人效比,1,11,,,,,人效比,/,Excel导入/手动录入,月,人力资源部,高,是,,具体公式？
珠琴澳三地特色产业集群总产值,1,12,,,,,珠琴澳三地特色产业集群总产值,/,Excel导入/手动录入,月,产业科技板块,高,是,,无统计
战略新兴产业规模,1,13,,,,,战略新兴产业规模,/,Excel导入/手动录入,月,财务管理部,高,是,,无统计
累计GDP贡献值（分板块）,1,14,,,,,累计GDP贡献值（分板块）,/,系统对接,月,财务管理部,高,是,,34.增加值（劳动生产总值）
税收贡献（分板块）,1,15,,,,,税收贡献（分板块）,/,系统对接,月,财务管理部,高,是,,27.已交税费总额
带动社会消费品零售额,1,16,,,,,带动社会消费品零售额,/,Excel导入/手动录入,月,跨境文旅商贸板块,高,是,,具体公式？
生产性服务占比,1,17,,,,,生产性服务占比,/,Excel导入/手动录入,月,财务管理部,高,是,,无统计
费用压降情况（人力成本）,1,18,,,,,费用压降情况（人力成本）,/,Excel导入/手动录入,月,财务管理部,高,是,,
费用压降情况（财务费用）,1,19,,,,,费用压降情况（财务费用）,/,Excel导入/手动录入,月,财务管理部,高,是,,
费用压降情况（采购费用）,1,20,,,,,费用压降情况（采购费用）,/,Excel导入/手动录入,月,财务管理部,高,是,,
费用压降情况（工程建设成本）,1,21,,,,,费用压降情况（工程建设成本）,/,Excel导入/手动录入,月,财务管理部,高,是,,
费用压降情况（其他期间费用）,1,22,,,,,费用压降情况（其他期间费用）,/,Excel导入/手动录入,月,财务管理部,高,是,,
经营目标达成率,1,23,,,,经营目标达成率(不含重点工作，只计算经济指标),经营目标达成率,/,Excel导入/手动录入,月,战略规划部/经营发展部,高,否,综合看板-核心指标,
资金整体情况,1,24,,,业务数据,资金情况,资金整体情况,/,系统对接,月,资金管理部,高,是,,
融资情况,1,25,,,,,融资情况,/,Excel导入/手动录入,月,资金管理部,高,是,,
集团资金池实施余额,1,26,,,,,集团资金池实施余额,/,系统对接,月,资金管理部,中,否,,
货币余额,1,27,,,,,货币余额,/,系统对接,月,资金管理部,中,否,,
有息负债余额,1,28,,,,,有息负债余额,/,系统对接,月,资金管理部,高,是,,
费用化支出总额,1,29,,,,,费用化支出总额,/,系统对接,月,资金管理部,中,否,,
年度融资计划总额,2,30,,,,,年度融资计划总额,/,系统对接,月,资金管理部,中,否,,
已完成额,1,31,,,,,已完成额,/,系统对接,月,资金管理部,中,否,,
剩余额度,1,32,,,,,剩余额度,/,系统对接,月,资金管理部,中,否,,
集团综合融资成本率,2,33,,,,,集团综合融资成本率,/,系统对接,月,资金管理部,高,是,,
投资总额,2,34,,,,投资情况,投资总额,/,Excel导入/手动录入,月,投资与资本运营部、建设管理部,中,否,,
投资项目数量,1,35,,,,,投资项目数量,/,Excel导入/手动录入,月,投资与资本运营部、建设管理部,中,否,,
